text,label_address,label_voda,label_risk
my ex keeps turning up and banging on the door,0,1,1
i ned a safe place urgently,0,0,1
I'M In Crisis And Don'T Know Wht To Do ...,0,0,1
Things got out of hand last night,0,1,0
i need emergency accommodatoin toinght ..,0,0,1
82 Donnelly islands,1,0,0
Someone Threatened Me And I'M Afraid To Leave The House,0,0,1
"Flat 186, 782ARose Gate",1,0,0
I am frigthened he will aoke back tonight,0,0,1
I need a refuge space urgently,0,0,1
i think i might hurt someone if this continues,0,0,1
Someone hhreatened e And I'M Afraid To Leave The House !!,0,0,1
Hestia support worker present; seeking legal advice via Hestia. do not disclose details to previous partner,0,1,0
"I'M Having A Panic Attack, Alone At Home",0,0,1
update: seeking part-time work. provided job search support; support worker updated,0,0,0
Moved to women's refuge. Safety plan with IDVA in place; avoid in-person appointments where possible; emergency accommodation,0,1,0
CAN' TKEEP MYSELF SAFE TONIGHT,0,0,1
I qeed A Safe Place rgetly !!,0,0,1
My family said they will kick me out today,0,0,1
Btc,0,0,0
"the old forge, ash close ...",1,0,0
"Studio 210A, 937D Harbour Terraoe. Need Urgnt HjlpA t Twis Addres",1,0,1
861 Young union,1,0,0
"RSOE COTTAGE, ESSEX AVENUE !",1,0,0
"Rose Cottage, Strand Crescent. Need Urgent Help At This Address",1,0,1
Flat 18,1,0,0
SLEEPING ROUGH AND IT'S FREEZING,0,0,1
Looking into legal aid for protection order,0,1,0
This is gbberrihs blah blah,0,0,0
Need A Safe Place Urgnetly,0,0,1
"The OldForge, Oa Stree ?",1,0,0
Update: training course booked. awaiting documents,0,0,0
awaiting housing allocation; meeting IDVA next week; keep address confidential; police involved,0,1,0
"Corner House, Lvender Tyrrace",1,0,0
Discussed CV updated; next steps agreed.,0,0,0
awaiting housing allocation. MARAC referral submitted; no third-party disclosures allowed; DV,0,1,0
i don't feel safe right now,0,0,1
"I' M RISKyTO MYSELF, PLEASE CONTACT ME ASAP",0,0,1
2 Sylvia burg,1,0,0
89 Sean mountain,1,0,0
seeking legal advice via Beyond the Streets. risk assessed as high. use alternate phone for contact; safe accommodation,0,1,0
Flat 5,1,0,0
"Primrose House, Seaview Row",1,0,0
Discussed seeking part-time work; next steps agreed.,0,0,0
Contacted Care Leavers Team for advice re housing application in progress.,0,0,0
Getting worse not better,0,1,0
No safeguarding concerns disclosed. seeking part-time work,0,0,0
staying with friend temporarily. MARAC referral submitted; keep address confidential; coercive control,0,1,0
Update: alcohol support group. Referred to budgeting workshop,0,0,0
"Wayside, Warwick Court !!",1,0,0
I NEED EMERGENCY ACCOMMODATION TONIGHT ..,0,0,1
"Ivy Cottage, King Mews",1,0,0
Contacted Jobcentre for advice re housing application in progress.,0,0,0
798 Beth vista,1,0,0
No safeguarding concerns disclosed. work capability assessment,0,0,0
83nStrand Avenue,1,0,0
Moved to temporary accommodation. Safety plan with IDVA in place; avoid in-person appointments where possible; DA,0,1,0
Discussing custody arrangements with ex-partner,0,0,0
I THINf I MIGHT HRUT SOMEONE IF THIS CwNTINUS ...,0,0,1
Need to discuss protection order with solicitor urgently,0,1,0
